,arrest_key,arrest_date,pd_desc,ofns_desc,law_code,law_cat_cd,age_group,perp_sex,perp_race,latitude,longitude,arrest_boro,arrest_precinct,jurisdiction_code
48,189328420,2018-10-28,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1601504,F,25-44,M,BLACK,40.67027627800008,-73.86729982099996,K,75,0.0
64,188893646,2018-10-17,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1601502,F,18-24,M,BLACK,40.66416202000005,-73.94681681999998,K,71,0.0
104,187411539,2018-09-10,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 160102A,F,25-44,M,WHITE,40.638667594000026,-74.02246340399995,K,68,0.0
111,194061336,2019-02-27,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,BLACK,40.88733281800006,-73.84725001299995,B,47,0.0
128,193660435,2019-02-16,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK HISPANIC,40.74125089100005,-73.80734800299996,Q,109,0.0
139,186490342,2018-08-16,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1601502,F,45-64,M,BLACK,40.71496615000007,-74.00565402799998,M,5,0.0
153,194443569,2019-03-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,M,BLACK,40.84413994500005,-73.90038861799997,B,48,0.0
169,186206385,2018-08-09,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1600500,F,18-24,M,BLACK,40.76706310900005,-73.98262250499994,M,18,0.0
193,195542879,2019-04-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102B,F,18-24,M,BLACK,40.82229848500003,-73.91169413099993,B,42,0.0
202,184778224,2018-07-05,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1601001,F,<18,M,BLACK,40.59854310300005,-74.07194167999995,S,122,0.0
207,184936113,2018-07-09,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 160102A,F,18-24,F,BLACK,40.80855767700007,-73.95235475399994,M,28,0.0
213,183738750,2018-06-12,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1601504,F,25-44,M,BLACK,40.69347132500008,-73.98724306499997,K,84,0.0
215,184374761,2018-06-24,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1601001,F,18-24,M,WHITE,40.632588097000045,-74.02137691199994,K,68,0.0
